category_type,event_category_name,event_count
THEATER,Comedy,2089
CONCERT,Rock,1322
THEATER,Arts and Theater,1311
THEATER,Musical,1257
SPORT,Minor League Baseball,994
CONCERT,Country and Folk,667
CONCERT,Pop,592
CONCERT,Dance/Electronica,543
THEATER,Other Theater,463
CONCERT,Alternative,447
CONCERT,Blues and Jazz,360
SPORT,Baseball,291
CONCERT,Rap/Hip Hop,285
CONCERT,Classical,240
SPORT,Rodeo,231
THEATER,Family,222
THEATER,Circus,212
CONCERT,Music Festivals,205
CONCERT,R&B,202
THEATER,Cirque,196
THEATER,Ballet and Dance,165
THEATER,Magic,164
CONCERT,Hard Rock,130
CONCERT,Adult Contemporary,123
THEATER,Broadway,118
SPORT,MLB Baseball,111
CONCERT,Latin Music,111
SPORT,Soccer,87
CONCERT,World Music,76
THEATER,Public Speaking,73
SPORT,Other Sports,63
SPORT,Racing,57
SPORT,Wrestling,57
CONCERT,Reggae,48
THEATER,Opera,41
SPORT,Softball,39
SPORT,Horse Racing,37
SPORT,Hockey,30
SPORT,Motorsports,29
CONCERT,New Age,26
SPORT,WNBA,25
THEATER,Podcast,25
SPORT,NHL Hockey,22
SPORT,Basketball,22
CONCERT,Other Concerts,20
SPORT,Extreme Sports,19
SPORT,PGA Golf,18
SPORT,NBA Basketball,17
CONCERT,City,16
THEATER,Off-Broadway,12
SPORT,Boxing and Fighting,11
SPORT,NASCAR Racing,11
SPORT,Arena Football,11
SPORT,MLS,10
CONCERT,K-pop,10
SPORT,Football,9
SPORT,Gymnastics,6
SPORT,Rugby,5
SPORT,Lacrosse,4
SPORT,WWE,3
SPORT,Amateur Wrestling,3
SPORT,College Baseball,3
SPORT,Skating,2
SPORT,NCAA Football,1
SPORT,e-Sports,1
