country,state,city,event_count
US,NV,Las Vegas,1136
US,NY,New York,829
US,IL,Chicago,324
US,CA,Los Angeles,209
US,NY,Brooklyn,195
US,CA,San Francisco,181
US,TN,Nashville,149
US,OR,Portland,145
US,CO,Denver,144
US,TX,Houston,136
US,PA,Philadelphia,136
CA,ON,Toronto,135
US,WA,Seattle,134
US,MO,Branson,119
US,TX,Austin,119
US,DC,Washington DC,116
US,GA,Atlanta,115
US,CA,San Diego,111
US,AZ,Phoenix,110
US,TX,Dallas,107
US,MN,Minneapolis,104
US,DC,Washington,86
US,MA,Boston,83
CA,QC,Montreal,82
US,MO,St. Louis,81
US,UT,Salt Lake City,74
US,NE,Omaha,71
US,OH,Cleveland,70
US,NC,Charlotte,67
US,IN,Indianapolis,64
US,MI,Detroit,63
US,CA,Sacramento,62
US,LA,New Orleans,58
US,TX,Fort Worth,58
US,OH,Columbus,58
US,MO,Kansas City,56
US,OK,Oklahoma City,55
CA,BC,Vancouver,54
US,FL,Orlando,54
US,NC,Raleigh,53
US,FL,Jacksonville,52
US,MD,Baltimore,52
US,NM,Albuquerque,49
US,PA,Pittsburgh,49
US,WI,Milwaukee,48
US,NY,Buffalo,47
US,OK,Tulsa,46
US,FL,Tampa,45
US,CA,Oakland,44
US,KY,Louisville,43
US,TX,San Antonio,40
US,CT,Hartford,39
US,OH,Cincinnati,39
US,SC,Greenville,39
US,NJ,Atlantic City,39
US,MI,Grand Rapids,38
US,NV,Reno,38
US,VA,Richmond,38
US,SC,Myrtle Beach,37
US,WA,Spokane,37
US,AL,Birmingham,35
US,HI,Honolulu,35
US,FL,Miami,35
US,WI,Madison,35
US,AZ,Tucson,35
US,MO,Springfield,34
US,FL,Sarasota,33
CA,AB,Edmonton,33
US,OR,Eugene,32
US,CA,Santa Barbara,32
US,ID,Boise,32
US,UT,Sandy,32
US,WA,Tacoma,31
US,NC,Wilmington,30
US,KS,Wichita,29
US,TN,Chattanooga,29
US,SC,Charleston,29
CA,AB,Calgary,29
US,ME,Portland,29
US,CA,San Jose,28
CA,ON,Stratford,28
US,IA,Des Moines,28
US,NC,Asheville,27
US,NC,Greensboro,27
US,TN,Memphis,27
US,OR,Ashland,26
US,CA,La Jolla,26
US,IL,Schaumburg,26
US,VA,Virginia Beach,25
US,TX,El Paso,25
US,CO,Colorado Springs,25
CA,ON,Ottawa,24
US,MA,Cambridge,24
US,KY,Lexington,23
US,TX,Arlington,23
US,MS,Biloxi,22
US,CA,West Hollywood,22
US,AZ,Tempe,22
US,VA,Arlington,21
US,FL,Fort Lauderdale,21
US,IN,Fort Wayne,21
US,NY,Rochester,21
US,RI,Providence,21
US,VA,Abingdon,20
US,CA,Ontario,20
US,CA,Costa Mesa,20
US,OR,Bend,20
US,MA,Worcester,20
US,OH,Dayton,20
US,IL,Rosemont,20
US,NC,Durham,19
US,NY,Syracuse,19
CA,ON,Niagara-on-the-Lake,19
US,CO,Fort Collins,19
US,CA,Berkeley,19
US,MN,Saint Paul,19
US,CA,Rohnert Park,19
US,SC,North Myrtle Beach,19
US,CA,Santa Monica,18
US,CA,Anaheim,18
US,PA,Lancaster,18
US,OH,Akron,18
US,NH,Manchester,18
US,CT,Uncasville,18
US,TX,Plano,18
CA,QC,Brossard,18
US,CA,Laguna Beach,17
US,WY,Casper,16
US,NJ,Asbury Park,16
US,NY,Albany,16
US,FL,Vero Beach,16
US,TX,Corpus Christi,15
CA,MB,Winnipeg,15
US,NH,Portsmouth,15
US,AZ,Gilbert,15
US,NY,New York City,15
US,TX,Irving,15
US,CA,Del Mar,15
US,IL,Springfield,15
US,NJ,Newark,15
US,MA,Somerville,15
US,CA,Fresno,14
US,NY,Poughkeepsie,14
US,CT,Stamford,14
US,PA,Allentown,14
US,NJ,Red Bank,14
US,NY,Saratoga Springs,14
US,DE,Wilmington,14
US,OH,Chillicothe,14
US,GA,Alpharetta,14
CA,SK,Saskatoon,14
US,CA,Bakersfield,14
US,TX,Grand Prairie,14
US,PA,Strasburg,13
US,UT,Pleasant Grove,13
US,MD,Hagerstown,13
US,MN,St Paul,13
US,CA,Newport Beach,13
US,IN,Carmel,13
US,NJ,New Brunswick,13
US,NJ,Beach Haven,13
US,NM,Santa Fe,12
US,GA,Woodstock,12
US,AL,Hoover,12
US,CA,Pleasanton,12
US,CA,Folsom,12
US,CA,Walnut Creek,12
US,PA,New Hope,12
US,VT,Burlington,12
US,IL,Oakbrook Terrace,12
US,FL,Naples,11
US,IL,Decatur,11
CA,ON,London,11
US,FL,Fort Myers,11
US,WI,Appleton,11
US,GA,Duluth,11
US,MA,Burlington,11
US,MD,Columbia,11
US,AZ,Scottsdale,11
US,DE,Milton,11
US,UT,Centerville,11
CA,AB,Medicine Hat,11
US,NC,High Point,11
US,NC,Winston-Salem,11
US,MI,Royal Oak,11
US,UT,Cedar City,11
US,CA,Solana Beach,11
US,LA,Baton Rouge,11
CA,ON,Mississauga,11
US,NE,Olympia,11
US,OK,Guthrie,11
US,VA,Alexandria,11
US,MN,Rochester,11
US,IN,Shipshewana,11
US,CO,Morrison,11
US,VA,Norfolk,11
US,PA,Center Valley,11
US,AZ,Peoria,11
US,CT,Bridgeport,11
US,CA,Redding,11
US,CA,Inglewood,11
US,ME,Ogunquit,11
US,TX,Amarillo,11
US,MO,Columbia,10
US,MO,St Charles,10
CA,BC,Victoria,10
US,IL,Lincolnshire,10
US,WI,Eau Claire,10
US,FL,Miami Beach,10
US,CA,Modesto,10
US,UT,Ivins,10
US,IL,Peoria,10
US,PA,Pottstown,10
US,FL,Saint Petersburg,10
US,VA,Vienna,10
US,NV,Stateline,10
US,CA,Temecula,10
US,AZ,Chandler,10
US,MA,Medford,10
US,VA,Winchester,10
US,OH,Perrysburg,10
US,PA,Harrisburg,10
US,VA,Charlottesville,10
US,NJ,Millburn,10
US,FL,Davie,10
US,MT,Missoula,10
US,PA,King of Prussia,10
US,IN,Bloomington,10
US,AL,Huntsville,10
US,MO,Kirkwood,10
US,IL,Joliet,10
US,CA,Brea,9
US,TX,Canyon,9
US,OH,Youngstown,9
US,GA,Macon,9
US,NJ,Freehold,9
US,WY,Cody,9
US,TN,Johnson City,9
US,KS,Kansas City,9
US,NC,Roanoke Rapids,9
US,NY,Woodstock,9
US,NC,Flat Rock,9
US,NC,Brevard,9
CA,BC,Kelowna,9
US,CT,East Haddam,9
US,IA,West Des Moines,9
CA,QC,Outremont,9
US,MT,West Yellowstone,9
US,TX,Frisco,9
US,VA,Roanoke,9
US,CO,Steamboat Springs,9
US,ID,Idaho Falls,9
US,NY,Manhattan,9
US,,Las Vegas,9
US,CA,Irvine,9
US,OH,Liberty Township,9
US,CT,New Haven,9
US,WY,Cheyenne,9
US,IN,South Bend,9
US,MT,Kalispell,9
US,FL,Clearwater,9
US,VA,Hampton,9
US,MA,Nantucket,9
US,CO,Greenwood Village,9
US,CA,Thousand Oaks,8
US,PA,Reading,8
US,CA,Highland,8
US,NY,Glens Falls,8
US,GA,Savannah,8
CA,BC,New Westminster,8
US,CA,Long Beach,8
US,CA,Sunnyvale,8
US,MD,Bowie,8
US,MN,Bloomington,8
US,NJ,Point Pleasant Beach,8
US,OH,Lakewood,8
US,IN,Warsaw,8
US,NC,Jacksonville,8
US,MN,Shakopee,8
CA,ON,Port Hope,8
US,KY,Bowling Green,8
US,CA,Solvang,8
US,UT,Provo,8
US,CT,Fairfield,8
CA,QC,Quebec City,8
US,MI,Hamtramck,8
US,IL,Aurora,8
US,ND,Medora,8
US,FL,Jupiter,8
US,MN,Mankato,8
US,VT,South Burlington,8
US,PA,Sellersville,8
US,WI,La Crosse,8
US,PA,Warrendale,8
US,NJ,Augusta,8
US,NY,Pawling,8
US,NJ,Wildwood,8
US,CA,La Mirada,8
US,NE,Lincoln,8
US,ND,Minot,8
US,FL,Ocala,8
US,IL,Evanston,8
US,PA,Homestead,8
CA,NS,Halifax,8
US,NY,Port Chester,8
US,IA,Iowa City,8
US,CA,West Sacramento,8
US,GA,Lawrenceville,8
US,NY,West Nyack,8
US,GA,Columbus,8
US,FL,Winter Park,8
US,MI,Ann Arbor,8
CA,ON,Owen Sound,7
US,WI,Spring Green,7
US,NC,Fayetteville,7
US,CT,Trumbull,7
US,OH,Sugarcreek,7
US,CA,Pasadena,7
US,IL,Marion,7
US,CA,Stockton,7
US,OH,Beavercreek,7
US,VA,Danville,7
US,FL,Hollywood,7
US,WA,Kennewick,7
US,PA,State College,7
US,CA,Palm Springs,7
US,NY,Wantagh,7
US,OR,Hillsboro,7
US,CT,Ridgefield,7
US,FL,Daytona Beach,7
US,MA,Lowell,7
US,TN,Madison,7
US,OR,Keizer,7
US,IA,Clinton,7
US,MD,Olney,7
US,IN,Elkhart,7
US,NC,Gastonia,7
US,CA,San Juan Capistrano,7
US,NY,Northport,7
US,CA,Venice,7
US,TX,Midland,7
US,NC,Hickory,7
US,IL,Bloomington,7
US,GA,Rome,7
US,TX,White Oak,7
US,CA,San Luis Obispo,7
US,MI,Midland,7
US,VA,Fredericksburg,7
US,TN,Cookeville,7
US,GA,Blue Ridge,7
US,NY,Homer,7
US,NY,Chatham,7
US,CA,Santa Ana,7
US,KS,Salina,7
US,AR,Springdale,7
US,CA,Escondido,7
US,IN,Evansville,7
US,NC,Wake Forest,7
US,ND,Dickinson,7
CA,AB,Wainwright,7
US,CT,Sharon,7
US,CA,Oxnard,7
US,FL,Pensacola,7
US,NY,Bellport,7
US,CO,Telluride,7
US,PA,Altoona,7
US,SC,Spartanburg,7
US,NY,Queens,7
US,WA,Yakima,7
US,TN,Greeneville,7
CA,SK,Regina,7
US,PA,York,7
US,TX,Lubbock,7
US,WV,Charleston,7
US,MN,Apple Valley,7
US,TX,Tomball,7
US,MA,Stoneham,7
US,VT,Dorset,7
US,CA,Paso Robles,6
US,TX,Fredericksburg,6
US,WI,Oconomowoc,6
US,TX,Sugar Land,6
US,WA,Wenatchee,6
US,TX,Round Rock,6
US,IL,Woodstock,6
US,MO,Saint Charles,6
US,VA,Lynchburg,6
US,CA,Grass Valley,6
US,WI,Greendale,6
US,PA,Erie,6
US,AL,Mobile,6
US,PA,Kennett Square,6
US,PA,Hershey,6
US,RI,South Kingstown,6
US,MA,Dennis,6
US,CT,Manchester,6
US,MD,Lutherville-Timonium,6
US,MN,Duluth,6
US,CA,Roseville,6
US,NE,Gering,6
US,WA,Bellingham,6
US,WA,Ridgefield,6
US,OR,Corvallis,6
US,UT,Park City,6
US,CO,Aspen,6
US,MN,St Cloud,6
US,FL,Dania Beach,6
US,MT,Bozeman,6
US,NC,Winston Salem,6
US,UT,Logan,6
US,NY,Garrison,6
US,WI,Brookfield,6
US,WI,Wausau,6
US,CA,Carmel-By-The-Sea,6
US,IA,Davenport,6
US,PA,Williamsport,6
US,MD,Aberdeen,6
US,CO,Englewood,6
US,TX,The Woodlands,6
US,MI,Traverse City,6
US,CA,Napa,6
US,AZ,Flagstaff,6
US,SC,North Charleston,6
US,CA,Menlo Park,6
US,MI,Paw Paw,6
US,CA,Mill Valley,6
US,IL,Geneva,6
US,ID,Nampa,6
US,MI,Battle Creek,6
US,OH,Toledo,6
US,MI,Kalamazoo,6
US,VA,Bluefield,6
US,PA,Wilkes-Barre,6
US,UT,Ogden,6
US,SD,Sioux Falls,6
US,FL,St. Augustine,6
US,IA,Burlington,6
US,CA,Ventura,6
US,CA,Yucaipa,6
US,CA,Covina,6
US,MD,Annapolis,6
US,NC,Carrboro,6
US,MI,Utica,6
US,PA,Souderton,6
US,WA,Naches,6
US,WA,Puyallup,6
US,NY,Ridgewood,6
US,NY,Broadalbin,6
US,OR,Salem,6
US,WI,Wisconsin Dells,6
US,WA,Auburn,6
US,ND,Bismarck,6
US,CT,Hamden,6
CA,ON,Chatham,5
US,WY,Sheridan,5
US,MA,Mansfield,5
US,NY,Oneonta,5
US,DE,Dewey Beach,5
US,CA,Santa Clarita,5
US,CT,Cromwell,5
US,AL,Montgomery,5
US,MA,Salisbury,5
US,MD,Silver Spring,5
US,TX,New Braunfels,5
US,TX,Bandera,5
US,OH,Marietta,5
US,MI,Lansing,5
US,VT,Barre,5
US,NJ,Jersey City,5
US,TX,Denton,5
CA,AB,Fort Macleod,5
US,NC,Holly Springs,5
US,FL,Boca Raton,5
US,TN,Bristol,5
CA,ON,Woodstock,5
US,GA,Athens,5
US,NY,Troy,5
US,CO,Boulder,5
US,NH,Nashua,5
CA,SK,Current,5
US,NY,Utica,5
US,NJ,Rutherford,5
CA,ON,Campbellford,5
US,IN,Noblesville,5
US,OR,Pendleton,5
US,CA,San Bernardino,5
US,KY,Owensboro,5
US,TX,Galveston,5
US,NC,Kinston,5
US,IN,Gary,5
US,PA,Millvale,5
US,NY,Flushing,5
US,CA,Salinas,5
US,FL,Bradenton,5
US,MT,Billings,5
US,ND,Fargo,5
US,NC,Edenton,5
US,MA,Rockport,5
US,WA,Walla Walla,5
US,CA,Lafayette,5
US,MA,Seekonk,5
US,NY,11729,5
US,CO,Bellvue,5
US,WI,Elkhart Lake,5
US,CA,Livermore,5
US,MA,Northampton,5
US,IL,Loves Park,5
US,TX,Abilene,5
US,CA,Pioneertown,5
CA,ON,Hamilton,5
US,MI,Southfield,5
US,PA,Zelienople,5
US,RI,East Providence,5
US,UT,Bryce Canyon City,5
US,NY,Patchogue,5
US,VA,Staunton,5
US,AZ,Mesa,5
US,WA,Everett,5
US,WA,Pasco,5
CA,QC,Quebec,5
US,CA,Visalia,5
US,CO,Loveland,5
US,FL,Sanford,5
US,PA,Washington,5
US,PA,Warminster,5
US,IN,Terre Haute,5
US,NC,East Flat Rock,5
US,NY,Cairo,5
CA,ON,Gloucester,5
US,VA,Salem,5
US,MA,Salem,5
US,IN,Portage,5
US,TX,Navasota,5
US,WI,Wisconsin Rapids,5
US,SC,Columbia,5
US,CA,Sebastopol,5
US,ND,Grand Forks,5
US,FL,Cocoa,5
US,MS,Jackson,5
US,NY,Hammondsport,5
US,IL,Berwyn,5
CA,AB,Ponoka,5
US,TX,McAllen,5
US,CA,Hermosa Beach,5
CA,AB,Leduc County,5
US,NH,Hampton,5
US,KY,Florence,5
US,NY,Huntington,5
US,IL,Des Plaines,5
US,AR,North Little Rock,5
US,NV,Sparks,5
US,SC,Conway,5
US,MD,Elkton,5
US,TX,Beaumont,5
US,WV,Granville,5
US,TN,Murfreesboro,5
CA,ON,Ontario,5
US,TN,Pigeon Forge,5
US,PA,Oakmont,4
US,IL,St Charles,4
US,NE,Papillion,4
US,TX,Sherman,4
US,NM,Bernalillo,4
US,VA,Hopewell,4
US,NY,North Tonawanda,4
US,MD,Frederick,4
US,NH,Gilford,4
US,NC,Wilson,4
US,IN,Huntingburg,4
US,IN,Lafayette,4
US,IN,Kokomo,4
US,NC,Kannapolis,4
US,OH,Eastlake,4
US,CT,Stafford Springs,4
US,VA,Pulaski,4
US,IA,Allison,4
US,MO,Cape Girardeau,4
US,MA,Foxborough,4
US,VA,Leesburg,4
US,MA,Brockton,4
US,NY,Bohemia,4
