event_id,title,category_type,event_category_name,forecast_value,forecast_layover_text,get_in_price,stats_total_quantity,event_utc_datetime
78981707,James Taylor and His All-Star Band,CONCERT,Adult Contemporary,0.67,,37.0,3765,2026-06-23 23:30:00+00:00
82390162,Minnesota Lynx at Washington Mystics,SPORT,WNBA,0.67,,267.0,101,2026-06-24 23:30:00+00:00
88800928,Mojo Brookzz,THEATER,Comedy,0.67,,298.0,1,2026-06-21 01:15:00+00:00
101786041,TobyMac,CONCERT,Adult Contemporary,0.66,,35.0,3233,2026-06-20 23:00:00+00:00
51772020,Joe Jackson,CONCERT,Pop,0.66,,75.0,144,2026-06-22 01:00:00+00:00
128840142,Lil Baby,CONCERT,Rap/Hip Hop,0.66,,97.0,3215,2026-06-21 01:00:00+00:00
60889677,Ole 60 (Rescheduled from 2/28),CONCERT,Country and Folk,0.65,,97.0,6,2026-06-21 00:30:00+00:00
91459907,Wale and Smino,CONCERT,Rap/Hip Hop,0.65,,259.0,2,2026-06-20 23:30:00+00:00
96806844,Jelly Roll,CONCERT,Country and Folk,0.63,,198.0,428,2026-06-21 23:00:00+00:00
61836969,Diana Krall,CONCERT,Blues and Jazz,0.62,,141.0,10,2026-06-26 23:30:00+00:00
91909765,Hilary Duff,CONCERT,Pop,0.59,,42.0,878,2026-06-23 23:00:00+00:00
63797236,Dwight Yoakam,CONCERT,Country and Folk,0.59,,159.0,477,2026-06-27 01:30:00+00:00
51325344,Bonnie Raitt,CONCERT,Country and Folk,0.54,,76.0,32,2026-06-20 02:30:00+00:00
21483346,Boston Red Sox at Colorado Rockies,SPORT,MLB Baseball,0.53,,25.0,14894,2026-06-24 19:10:00+00:00
49540542,Journey,CONCERT,Rock,0.53,,70.0,4057,2026-06-25 00:30:00+00:00
64225652,The Bald and the Beautiful - With Trixie and Katya,THEATER,Podcast,0.51,,82.0,81,2026-06-21 02:30:00+00:00
108268855,Wale,CONCERT,Rap/Hip Hop,0.5,,149.0,22,2026-06-22 00:00:00+00:00
109588760,CA7RIEL and Paco Amoroso,CONCERT,Dance/Electronica,0.49,,102.0,34,2026-06-27 00:00:00+00:00
82387436,Toronto Tempo at Connecticut Sun,SPORT,WNBA,0.49,,26.0,2176,2026-06-19 23:30:00+00:00
97251186,Ziggy Marley,CONCERT,Reggae,0.48,,39.0,2323,2026-06-21 03:00:00+00:00
100654096,Rod Stewart,CONCERT,Adult Contemporary,0.45,,342.0,65,2026-06-22 02:00:00+00:00
99756507,Hank Williams Jr,CONCERT,Country and Folk,0.44,,50.0,3462,2026-06-20 22:30:00+00:00
78565891,Vince Gill,CONCERT,Country and Folk,0.44,,111.0,64,2026-06-25 23:30:00+00:00
82389097,Philadelphia Union II at Orlando City B,SPORT,MLS,0.41,,7.0,54,2026-06-21 23:00:00+00:00
48193804,Louis Tomlinson,CONCERT,Pop,0.41,,140.0,380,2026-06-27 00:00:00+00:00
17466129,Jabbawockeez,CONCERT,Rap/Hip Hop,0.4,,79.0,325,2026-06-27 00:30:00+00:00
9277528,Chicago Symphony Orchestra - Lincoln Portrait and Ellington Harlem,CONCERT,Classical,0.39,,43.0,920,2026-06-21 00:30:00+00:00
109582092,Gabriel Iglesias,THEATER,Comedy,0.38,,204.0,104,2026-06-21 03:00:00+00:00
49991484,Jack Johnson,CONCERT,Pop,0.36,,170.0,252,2026-06-19 23:30:00+00:00
60961938,Alison Krauss and Union Station,CONCERT,Country and Folk,0.35,,64.0,1337,2026-06-22 00:30:00+00:00
22321775,Ariana Grande,CONCERT,Pop,0.35,,873.0,340,2026-06-20 02:30:00+00:00
42462757,Kenny Chesney,CONCERT,Country and Folk,0.34,,398.0,252,2026-06-21 03:00:00+00:00
110466613,Joshua Slone,CONCERT,Country and Folk,0.34,,32.0,9,2026-06-25 01:30:00+00:00
84566646,2026 Summerfest - Don Toliver,CONCERT,Rap/Hip Hop,0.33,,121.0,10014,2026-06-20 00:00:00+00:00
83262015,Luke Bryan,CONCERT,Country and Folk,0.31,,54.0,1049,2026-06-20 00:00:00+00:00
43325680,5 Seconds of Summer,CONCERT,Pop,0.3,,70.0,2713,2026-06-27 03:00:00+00:00
118823447,Amy Grant,CONCERT,Pop,0.29,,157.0,225,2026-06-21 23:00:00+00:00
56163534,Daniel Tosh,THEATER,Comedy,0.29,,102.0,97,2026-06-24 01:30:00+00:00
61834222,Megan Moroney,CONCERT,Country and Folk,0.28,,148.0,765,2026-06-19 23:00:00+00:00
92359605,Dierks Bentley,CONCERT,Country and Folk,0.28,,116.0,245,2026-06-26 01:30:00+00:00
