category_type,event_category_name,event_count,median_get_in_price,avg_get_in_price,min_price,max_price
SPORT,NBA Basketball,3,3715.0,2687.67,47.0,4301.0
SPORT,NHL Hockey,3,719.0,1399.0,130.0,3348.0
SPORT,Soccer,78,187.0,326.03,11.0,2104.0
SPORT,College Baseball,3,154.0,149.67,128.0,167.0
CONCERT,Music Festivals,162,150.0,208.56,23.0,1165.0
THEATER,Off-Broadway,11,141.0,148.73,64.0,249.0
SPORT,Gymnastics,2,137.0,137.0,82.0,192.0
SPORT,PGA Golf,16,117.5,133.38,30.0,324.0
THEATER,Broadway,95,113.0,123.29,63.0,352.0
THEATER,Musical,1088,104.0,162.39,8.0,10581.0
THEATER,Arts and Theater,960,102.0,115.91,12.0,848.0
THEATER,Cirque,170,98.5,111.78,58.0,217.0
SPORT,Hockey,5,98.0,306.4,85.0,1124.0
CONCERT,Classical,192,95.5,99.09,8.0,432.0
SPORT,Boxing and Fighting,10,95.0,129.0,52.0,469.0
CONCERT,New Age,17,91.0,89.65,36.0,157.0
THEATER,Opera,39,90.0,113.95,33.0,289.0
THEATER,Family,157,89.0,93.0,19.0,392.0
THEATER,Public Speaking,53,84.0,86.81,26.0,319.0
THEATER,Podcast,22,82.5,94.64,42.0,224.0
CONCERT,World Music,63,81.0,95.03,43.0,249.0
CONCERT,R&B,183,80.0,92.9,16.0,406.0
THEATER,Ballet and Dance,139,77.0,81.13,31.0,192.0
CONCERT,Blues and Jazz,294,75.0,85.98,16.0,773.0
CONCERT,Adult Contemporary,112,74.0,87.63,28.0,342.0
THEATER,Comedy,1631,73.0,82.96,10.0,977.0
CONCERT,Country and Folk,565,72.0,83.56,18.0,608.0
SPORT,Rugby,3,72.0,69.0,61.0,74.0
CONCERT,Rap/Hip Hop,264,70.0,79.14,11.0,737.0
THEATER,Other Theater,371,69.0,78.33,10.0,358.0
SPORT,Wrestling,43,68.0,65.0,35.0,124.0
CONCERT,Latin Music,90,68.0,82.32,11.0,246.0
SPORT,Racing,33,66.0,67.88,28.0,161.0
SPORT,Other Sports,57,65.0,70.51,19.0,188.0
SPORT,Extreme Sports,19,64.0,67.21,43.0,131.0
THEATER,Circus,157,63.0,67.77,26.0,103.0
THEATER,Magic,154,63.0,76.94,32.0,533.0
CONCERT,City,11,63.0,84.64,35.0,162.0
CONCERT,Pop,513,63.0,86.98,10.0,962.0
CONCERT,Rock,1142,62.0,73.48,13.0,582.0
CONCERT,Reggae,43,62.0,79.56,34.0,408.0
CONCERT,Dance/Electronica,421,61.0,74.35,15.0,1194.0
SPORT,Motorsports,27,60.0,66.7,38.0,126.0
CONCERT,Hard Rock,112,59.5,66.9,25.0,234.0
SPORT,Lacrosse,3,58.0,48.33,29.0,58.0
SPORT,WWE,3,57.0,61.67,53.0,75.0
CONCERT,Alternative,386,57.0,67.66,10.0,329.0
SPORT,NASCAR Racing,8,56.0,72.25,39.0,210.0
SPORT,Amateur Wrestling,2,55.0,55.0,41.0,69.0
SPORT,Rodeo,206,54.0,60.5,27.0,237.0
CONCERT,K-pop,9,45.0,53.67,36.0,87.0
SPORT,Softball,34,43.0,43.32,27.0,62.0
SPORT,Basketball,19,39.0,40.32,33.0,59.0
SPORT,Skating,2,39.0,39.0,39.0,39.0
SPORT,Arena Football,11,34.0,34.82,18.0,50.0
SPORT,Football,9,33.0,34.11,17.0,49.0
SPORT,WNBA,24,31.0,49.96,19.0,267.0
SPORT,MLB Baseball,111,30.0,38.48,10.0,148.0
SPORT,NCAA Football,1,28.0,28.0,28.0,28.0
SPORT,Baseball,247,27.0,37.36,9.0,324.0
SPORT,Horse Racing,28,25.0,28.0,13.0,76.0
SPORT,Minor League Baseball,959,24.0,24.66,8.0,230.0
SPORT,MLS,4,12.5,13.75,7.0,23.0
