event_id,title,category_type,window_days,direction,percent_change,raw_change,get_in_price,event_utc_datetime
106935242,Iceboy - The Musical,THEATER,30,up,14004.0,140.04,10581.0,2026-06-27 00:30:00+00:00
106930533,Iceboy - The Musical,THEATER,30,up,12334.0,123.34,10581.0,2026-06-21 00:30:00+00:00
106935242,Iceboy - The Musical,THEATER,14,up,11150.0,111.5,10581.0,2026-06-27 00:30:00+00:00
106933115,Iceboy - The Musical,THEATER,30,up,10518.0,105.18,10581.0,2026-06-25 00:30:00+00:00
106933115,Iceboy - The Musical,THEATER,14,up,10518.0,105.18,10581.0,2026-06-25 00:30:00+00:00
106933995,Iceboy - The Musical,THEATER,30,up,10518.0,105.18,10581.0,2026-06-26 00:30:00+00:00
106933995,Iceboy - The Musical,THEATER,14,up,10518.0,105.18,10581.0,2026-06-26 00:30:00+00:00
113539177,2026 Taylor Fest - (6/19),CONCERT,14,up,2096.0,20.96,1165.0,2026-06-20 02:00:00+00:00
113539177,2026 Taylor Fest - (6/19),CONCERT,30,up,2096.0,20.96,1165.0,2026-06-20 02:00:00+00:00
112669549,Cinderella - The Musical,THEATER,14,up,580.0,5.8,406.0,2026-06-26 22:00:00+00:00
112668137,Cinderella - The Musical,THEATER,14,up,580.0,5.8,406.0,2026-06-25 22:00:00+00:00
112669549,Cinderella - The Musical,THEATER,7,up,580.0,5.8,406.0,2026-06-26 22:00:00+00:00
112668137,Cinderella - The Musical,THEATER,30,up,580.0,5.8,406.0,2026-06-25 22:00:00+00:00
112669549,Cinderella - The Musical,THEATER,30,up,580.0,5.8,406.0,2026-06-26 22:00:00+00:00
112668137,Cinderella - The Musical,THEATER,7,up,580.0,5.8,406.0,2026-06-25 22:00:00+00:00
112667162,Cinderella - The Musical,THEATER,30,up,580.0,5.8,406.0,2026-06-24 22:00:00+00:00
84570047,Guys and Dolls,THEATER,7,up,569.0,5.69,612.0,2026-06-25 23:30:00+00:00
84566650,Guys and Dolls,THEATER,7,up,515.0,5.15,630.0,2026-06-19 23:30:00+00:00
119695471,Hot Dog Sundays,THEATER,30,up,471.0,4.71,120.0,2026-06-21 23:00:00+00:00
120137109,Ouster Nash,CONCERT,30,up,440.0,4.4,100.0,2026-06-26 23:00:00+00:00
128622679,Summer Level 1 Clown Intensive - Section 2,THEATER,14,up,420.0,4.2,97.0,2026-06-20 23:00:00+00:00
128405939,Summer Improv 1 Intensive Class Show,THEATER,14,up,420.0,4.2,97.0,2026-06-20 23:00:00+00:00
29131385,Misery - Play,THEATER,14,up,411.0,4.11,572.0,2026-06-20 19:00:00+00:00
29131385,Misery - Play,THEATER,30,up,411.0,4.11,572.0,2026-06-20 19:00:00+00:00
91462597,Come From Away,THEATER,30,up,405.0,4.05,505.0,2026-06-26 03:00:00+00:00
131556639,Queremos Reggaeton Party (18+ Event),CONCERT,7,up,400.0,4.0,109.0,2026-06-20 05:00:00+00:00
131556639,Queremos Reggaeton Party (18+ Event),CONCERT,14,up,400.0,4.0,109.0,2026-06-20 05:00:00+00:00
34697599,A Woman Among Women,THEATER,14,up,375.0,3.75,346.0,2026-06-25 00:00:00+00:00
81956309,Girl Interrupted,THEATER,30,up,362.0,3.62,848.0,2026-06-20 23:00:00+00:00
124650439,Monarch,CONCERT,30,up,362.0,3.62,122.0,2026-06-21 02:30:00+00:00
108269135,Find Your Muse Open Mic,THEATER,14,up,346.0,3.46,72.0,2026-06-22 23:30:00+00:00
34643386,Emo Night Karaoke (Rescheduled from 1/31/26),CONCERT,30,up,340.0,3.4,29.0,2026-06-20 23:00:00+00:00
34643386,Emo Night Karaoke (Rescheduled from 1/31/26),CONCERT,14,up,340.0,3.4,29.0,2026-06-20 23:00:00+00:00
130571729,Funky Cha,CONCERT,7,up,336.0,3.36,139.0,2026-06-26 02:00:00+00:00
120135441,Sqwerv,CONCERT,30,up,336.0,3.36,136.0,2026-06-25 23:00:00+00:00
130571729,Funky Cha,CONCERT,14,up,336.0,3.36,139.0,2026-06-26 02:00:00+00:00
120350181,Surf Trash (16+ Event),CONCERT,30,up,317.0,3.17,150.0,2026-06-23 23:00:00+00:00
37383468,Annie,THEATER,14,up,291.0,2.91,512.0,2026-06-25 00:30:00+00:00
37383468,Annie,THEATER,30,up,291.0,2.91,512.0,2026-06-25 00:30:00+00:00
37383468,Annie,THEATER,7,up,291.0,2.91,512.0,2026-06-25 00:30:00+00:00
37383468,Annie,THEATER,3,up,291.0,2.91,512.0,2026-06-25 00:30:00+00:00
52444843,Sesame Street Live - Elmos Got The Moves,THEATER,30,up,288.0,2.88,208.0,2026-06-20 18:00:00+00:00
45968745,August Wilson's Joe Turner's Come and Gone,THEATER,14,up,283.0,2.83,352.0,2026-06-24 18:00:00+00:00
128409627,Chicken Big,THEATER,14,up,278.0,2.78,108.0,2026-06-25 00:30:00+00:00
128403357,Not Like Other Girls Improv,THEATER,14,up,278.0,2.78,108.0,2026-06-20 00:30:00+00:00
45968745,August Wilson's Joe Turner's Come and Gone,THEATER,30,up,273.0,2.73,352.0,2026-06-24 18:00:00+00:00
45968745,August Wilson's Joe Turner's Come and Gone,THEATER,7,up,268.0,2.68,352.0,2026-06-24 18:00:00+00:00
99756517,Lenny Pearce,CONCERT,30,up,263.0,2.63,319.0,2026-06-20 20:00:00+00:00
124866842,Juice,CONCERT,30,up,263.0,2.63,139.0,2026-06-25 02:00:00+00:00
119914429,Victoryland,CONCERT,30,up,262.0,2.62,168.0,2026-06-24 02:00:00+00:00
21483482,Seattle Mariners at Pittsburgh Pirates,SPORT,3,up,260.0,2.6,45.0,2026-06-25 16:35:00+00:00
82390162,Minnesota Lynx at Washington Mystics,SPORT,30,up,259.0,2.59,267.0,2026-06-24 23:30:00+00:00
21483219,Seattle Mariners at Pittsburgh Pirates,SPORT,3,up,240.0,2.4,43.0,2026-06-23 22:40:00+00:00
89470563,New York Knicks at San Antonio Spurs (NBA Finals Game 7 San Antonio Home Game 4) (If Necessary),SPORT,30,up,237.0,2.37,4301.0,2026-06-20 00:30:00+00:00
107153657,Andy Huggins From Americas Got Talent,THEATER,14,up,235.0,2.35,290.0,2026-06-22 01:00:00+00:00
112667161,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-25 00:00:00+00:00
112664333,Guys and Dolls,THEATER,7,up,230.0,2.3,406.0,2026-06-21 00:00:00+00:00
112664333,Guys and Dolls,THEATER,14,up,230.0,2.3,406.0,2026-06-21 00:00:00+00:00
112661074,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-19 00:00:00+00:00
21483342,Seattle Mariners at Pittsburgh Pirates,SPORT,3,up,230.0,2.3,42.0,2026-06-24 22:40:00+00:00
112668136,Guys and Dolls,THEATER,7,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112668136,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112668136,Guys and Dolls,THEATER,3,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112668136,Guys and Dolls,THEATER,14,up,230.0,2.3,406.0,2026-06-26 00:00:00+00:00
112664333,Guys and Dolls,THEATER,30,up,230.0,2.3,406.0,2026-06-21 00:00:00+00:00
112665426,Guys and Dolls,THEATER,14,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
112666364,Guys and Dolls,THEATER,30,up,220.0,2.2,394.0,2026-06-24 00:00:00+00:00
112665426,Guys and Dolls,THEATER,30,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
112662476,Guys and Dolls,THEATER,30,up,220.0,2.2,394.0,2026-06-20 00:00:00+00:00
112665426,Guys and Dolls,THEATER,7,up,220.0,2.2,394.0,2026-06-21 18:00:00+00:00
